Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Shai Gilgeous-Alexander,OKC,26,68,57,11,2335.3,2232,770,1474,52.2,145,392,37.0,547,606,90.3,60,282,342,429,170,120,71,151,3689,5,0,822
Anthony Edwards,MIN,23,69,40,29,2504.8,1895,621,1406,44.2,278,695,40.0,375,446,84.1,53,346,399,316,222,79,42,124,2989,6,0,233
Nikola Jokić,DEN,30,62,41,21,2262.9,1806,690,1201,57.5,117,283,41.3,309,383,80.7,179,617,796,637,203,109,43,143,3970,52,29,499
Jayson Tatum,BOS,27,65,47,18,2377.1,1766,604,1330,45.4,231,661,34.9,327,401,81.5,44,522,566,385,195,73,34,144,3149,29,2,477
Giannis Antetokounmpo,MIL,30,58,34,24,1967.2,1753,691,1153,59.9,8,45,17.8,363,600,60.5,136,562,698,345,187,49,72,141,3284,48,7,245
Cade Cunningham,DET,23,66,37,29,2320.9,1698,631,1367,46.2,141,398,35.4,295,344,85.8,53,352,405,609,295,68,49,183,3154,30,9,178
Devin Booker,PHX,28,65,33,32,2431.9,1677,558,1219,45.8,173,495,34.9,388,433,89.6,63,201,264,455,181,64,14,174,2729,12,0,-60
Jalen Brunson,NYK,28,61,39,22,2162.3,1606,558,1138,49.0,140,365,38.4,350,424,82.5,25,156,181,452,153,58,6,132,2540,13,0,156
Tyler Herro,MIA,25,68,30,38,2420.7,1595,564,1224,46.1,226,618,36.6,241,278,86.7,27,330,357,378,174,59,16,79,2641,9,0,-33
Trae Young,ATL,26,66,32,34,2379.0,1593,490,1194,41.0,183,552,33.2,430,492,87.4,31,179,210,753,318,76,11,128,2918,42,0,65
Kevin Durant,PHX,36,58,32,26,2140.6,1545,558,1057,52.8,146,350,41.7,283,340,83.2,22,330,352,253,179,47,72,97,2525,5,0,18
Donovan Mitchell,CLE,28,65,51,14,2027.7,1542,531,1207,44.0,214,583,36.7,266,323,82.4,48,234,282,312,134,85,12,126,2505,4,0,496
Karl-Anthony Towns,NYK,29,63,41,22,2204.9,1542,558,1063,52.5,130,306,42.5,296,355,83.4,189,623,812,192,162,62,46,219,2966,49,0,313
Jalen Green,HOU,23,72,46,26,2412.1,1537,541,1281,42.2,212,604,35.1,243,295,82.4,39,291,330,245,179,61,24,116,2377,3,0,150
James Harden,LAC,35,68,40,28,2386.9,1531,442,1115,39.6,204,591,34.5,443,507,87.4,46,350,396,591,302,101,45,141,3029,32,2,243
LeBron James,LAL,40,59,37,22,2054.5,1467,562,1089,51.6,133,346,38.4,210,275,76.4,59,423,482,499,231,55,35,86,2833,30,10,-53
